"Type","UniqueName","Name"
"BPLegalEntity","BP Exploration Beta Limited","BP Exploration Beta Limited"
"BPLegalEntity","BP Exploration China Limited","BP Exploration China Limited"
"BPLegalEntity","BP Exploration China Limited China Branch","BP Exploration China Limited China Branch"
"BPLegalEntity","BP Exploration Company (Middle East) Limited","BP Exploration Company (Middle East) Limited"
"BPLegalEntity","BP Exploration Company Limited","BP Exploration Company Limited"
"BPLegalEntity","BP Exploration do Brasil Ltda","BP Exploration do Brasil Ltda"
"BPLegalEntity","BP Exploration Indonesia Limited","BP Exploration Indonesia Limited"
"BPLegalEntity","BP Exploration Libya Limited","BP Exploration Libya Limited"
"BPLegalEntity","BP Exploration Mexico Limited","BP Exploration Mexico Limited"
"BPLegalEntity","BP EXPLORATION MEXICO, S.A. DE C.V.","BP EXPLORATION MEXICO, S.A. DE C.V."
"BPLegalEntity","BP Exploration North Africa Limited","BP Exploration North Africa Limited"
"BPLegalEntity","BP Exploration Operating Company Limited","BP Exploration Operating Company Limited"
"BPLegalEntity","BP Exploration Orinoco Limited","BP Exploration Orinoco Limited"
"BPLegalEntity","BP Exploration Personnel Company Limited","BP Exploration Personnel Company Limited"
"BPLegalEntity","BP Express Shopping Limited","BP Express Shopping Limited"
"BPLegalEntity","BP Finance Australia Pty Ltd","BP Finance Australia Pty Ltd"
"BPLegalEntity","BP Finance p.l.c.","BP Finance p.l.c."
"BPLegalEntity","BP Foundation Incorporated","BP Foundation Incorporated"
"BPLegalEntity","BP France","BP France"
"BPLegalEntity","BP Fuels & Lubricants AS","BP Fuels & Lubricants AS"
"BPLegalEntity","BP Fuels Deutschland GmbH","BP Fuels Deutschland GmbH"
